Type,Latitude,Longitude,Composite Risk,Distance to Waterway (m),Nearest Water Type,Height Above Nearest Drainage (m),Drainage Direction,Slope (degrees),Upstream Drainage Area (km^2),Elevation (m),Landform Type,Area (m^2),Population within 1 km,Population within 5 km,Population within 10 km,Soil Clay Fraction,Soil Sand Fraction,Fine Earth Density (kg / m^3),Soil Great Group,ID,Place Name
Confirmed,40.732,40.732,0.28,231,river,3,northwest,0.7,0.007,39,Lower slope (flat),4132,772,30281,62784,0.26,0.33,150,0,8f1ed468d79c6e0,"Otllak, Berat, Berat County, Southern Albania, 5010, Albania"
Confirmed,41.318,41.318,0.28,371,coastline,2,south,0.5,0.006,-1,Lower slope (flat),1377,11874,117779,169989,0.22,0.39,137,2,8f1ed4ceaad1199,"Durrës, Bashkia Durrës, Durrës County, Northern Albania, 2001, Albania"
Confirmed,40.719,40.719,0.14,926,stream,9,northeast,3.4,0.072,24,Lower slope,350,200,14185,92171,0.28,0.32,152,0,8f1ed6b430eb6e0,"Zharrëz, Bashkia Patos, Fier County, Southern Albania, 9317, Albania"
Confirmed,41.474,41.474,0.31,96,lake,32,north,6.4,0.006,94,Upper slope,2319,1080,21401,76692,0.26,0.36,149,1,8f1ed4123356649,"Fushë-Krujë, Kruje, Durrës County, Northern Albania, 1502, Albania"
Confirmed,41.328,41.328,0.29,140,canal,6,northeast,3.3,0.013,95,Lower slope,887,17185,409584,761983,0.27,0.38,148,1,8f1ed40354b166b,"Rruga Ëngjëll Mashi, Astir, Lagjja e Re (Mëzez), Kashar, Tirana Municipality, Tirana County, Central Albania, 1051, Albania"
Confirmed,41.545,41.545,0.13,837,ditch,4,southeast,2.2,0.006,8,Lower slope (warm),158,254,17403,56520,0.28,0.32,151,0,8f1ed488a940ad0,"Thumanë, Kruje, Durrës County, Northern Albania, 1503, Albania"
Confirmed,42.230,42.230,0.25,516,river,23,southwest,1.2,0.006,88,Upper slope (flat),3321,515,8644,14499,0.23,0.42,152,2,8f1ef2316810580,"Koplik, Bashkia Malësi e Madhe, Shkodër County, Northern Albania, 4301, Albania"
Confirmed,41.352,41.352,0.31,86,canal,0,east,0.5,0.006,-3,Lower slope (flat),1477,4765,102833,162939,0.28,0.29,146,1,8f1ed4cec542420,"Rruga Sulo Bogdo 2, Spitallë, Durrës, Bashkia Durrës, Durrës County, Northern Albania, 2001, Albania"
Confirmed,42.065,42.065,0.37,71,canal,4,northwest,1.6,0.006,3,Lower slope (flat),3586,5982,80860,107444,0.22,0.35,130,14,8f1ef22a4cc94ea,"West Bypass, Bahçe Çakajve, Salo Halili, Lagjja 1, Shkodër, Shkodër Municipality, Shkodër County, Northern Albania, 4001-4007, Albania"
Confirmed,40.816,40.816,0.30,135,river,4,southeast,1.0,0.006,25,Lower slope (flat),7487,386,20727,39729,0.29,0.25,153,0,8f1ed46135aaa0e,"Tapi, Perondi, Bashkia Kuçovë, Berat County, Southern Albania, 5306, Albania"
Confirmed,40.737,40.737,0.18,1562,canal,3,southwest,0.9,0.007,11,Lower slope (flat),2631,735,11649,90405,0.27,0.29,160,1,8f1ed6b412a1334,"Kuman, Bashkia Roskovec, Fier County, Southern Albania, 9315, Albania"
Confirmed,40.949,40.949,0.18,1246,lake,1,northeast,3.4,0.013,4,Lower slope,2842,636,4240,42360,0.3,0.31,150,1,8f1ed44ed829cac,"Grabian, Bashkia Divjakë, Fier County, Southern Albania, 9011, Albania"
Confirmed,40.773,40.773,0.14,1430,lake,30,southwest,15.9,0.013,140,Upper slope (warm),399,163,12522,48156,0.26,0.35,152,1,8f1ed46a2641a80,"Ura Vajgurore, Bashkia Ura Vajgurore, Berat County, Southern Albania, 5007, Albania"
Confirmed,41.505,41.505,0.21,607,dam,20,northwest,16.7,0.013,363,Upper slope,867,1044,15828,44603,0.26,0.37,158,2,8f1ed48d279ea4e,"Krujë, Kruje, Durrës County, Northern Albania, 1501, Albania"
Industrial,41.444,41.444,n/a,88,river,2,north,1.5,0.013,22,Lower slope (flat),n/a,541,23774,129280,0.23,0.33,145,1,8f1ed41316b6600,"Prezë, Bashkia Vorë, Tirana County, Central Albania, 1039, Albania"
Industrial,41.189,41.189,n/a,37,river,2,southwest,1.2,0.006,224,Valley,n/a,2415,11620,18716,0.28,0.34,142,4,8f1ed4234642966,"Hekurudha, Librazhd, Bashkia Librazhd, Elbasan County, Central Albania, 3401, Albania"
Industrial,41.393,41.393,n/a,113,river,4,southwest,0.8,0.006,64,Lower slope,n/a,4553,173947,698851,0.24,0.34,156,0,8f1ed411d3855ae,"Zall-Herr, Tirana Municipality, Tirana County, Central Albania, 1048, Albania"
Industrial,40.699,40.699,n/a,1356,reservoir,6,north,0.0,0.013,17,Lower slope (flat),n/a,1008,34507,88057,0.26,0.27,159,1,8f1ed6b5122a39d,"SH73, Zharrëz, Patos, Bashkia Patos, Fier County, Southern Albania, 9317, Albania"
Industrial,40.607,40.607,n/a,248,river,3,south,0.3,0.007,6,Lower slope (flat),n/a,276,6512,21894,0.28,0.33,148,1,8f1ed6a0088c76a,"Shakaj (Trevllazër), Novoselë, Bashkia Vlorë, Vlorë County, Southern Albania, 9411, Albania"
Industrial,41.493,41.493,n/a,391,reservoir,37,northwest,12.2,0.006,134,Lower slope,n/a,562,21121,52858,0.29,0.32,151,2,8f1ed41210e2b21,"Krujë, Kruje, Durrës County, Northern Albania, 1501, Albania"
Industrial,41.640,41.640,n/a,88,drain,1,northwest,0.5,0.006,0,Lower slope (flat),n/a,530,22900,51913,0.23,0.34,147,0,8f1ed48ac811c49,"SH35, Laç, Bashkia Kurbin, Lezhë County, Northern Albania, 4701, Albania"
Industrial,41.967,41.967,n/a,1943,river,9,southwest,2.1,0.096,40,Valley (narrow),n/a,85,3276,15686,0.26,0.33,133,4,8f1ef275506b15d,"M-1, Gač - Gaçi, Pistula, Ulcinj Municipality, 85360, Montenegro"
Industrial,40.691,40.691,n/a,362,stream,6,southwest,1.0,0.007,62,Lower slope (flat),n/a,3357,33804,40358,0.27,0.31,153,0,8f1ed46d2834674,"Kullau (Uznovë), Berat, Berat County, Southern Albania, 5001, Albania"
Industrial,41.131,41.131,n/a,326,river,3,southwest,1.0,0.006,128,Lower slope,n/a,1013,36894,89924,0.25,0.37,142,0,8f1ed439192d4dd,"Labinot Fushë, Elbasan municipality, Elbasan County, Central Albania, 3010, Albania"
Industrial,41.386,41.386,n/a,59,lake,3,northeast,1.0,0.013,74,Lower slope (flat),n/a,10175,222358,723004,0.26,0.32,155,0,8f1ed41199190c2,"Rruga Argjinatura, Kamëz, Bashkia Kamëz, Tirana County, Central Albania, 1030, Albania"
Industrial,41.118,41.118,n/a,233,river,5,southeast,2.1,0.013,122,Lower slope,n/a,2162,69482,94810,0.25,0.39,148,0,8f1ed439031d165,"Mengël, Elbasan, Elbasan municipality, Elbasan County, Central Albania, 3025, Albania"
Industrial,40.477,40.477,n/a,182,river,2,north,3.2,0.020,41,Lower slope,n/a,193,4255,80893,0.25,0.32,157,1,8f1ed6af1401403,"SH100, Qendër Vlorë, Vllahinë, Bashkia Selenicë, Vlorë County, Southern Albania, 9412, Albania"
Unconfirmed,42.000,42.000,n/a,52,river,19,southeast,13.6,0.006,111,Lower slope,n/a,146,2997,17116,0.28,0.34,132,9,8f1ef277170da18,"M-1, Gornja Klezna - Kllezna e Epërme, Ulcinj Municipality, 85366, Montenegro"
Unconfirmed,40.377,40.377,n/a,257,coastline,12,southwest,4.3,0.007,11,Lower slope (warm),n/a,119,1330,35747,0.28,0.39,131,2,8f1ed6320586083,"Radhimë, Orikum, Bashkia Vlorë, Vlorë County, Southern Albania, 9426, Albania"
Unconfirmed,41.322,41.322,n/a,904,canal,0,southeast,1.0,0.509,-1,Valley,n/a,12461,121325,174748,0.22,0.37,138,1,8f1ed4ceb8f37ad,"Durrës, Bashkia Durrës, Durrës County, Northern Albania, 2001, Albania"
Unconfirmed,40.424,40.424,n/a,329,coastline,36,northwest,8.3,0.085,49,Lower slope,n/a,2275,35123,77403,0.28,0.41,108,1,8f1ed6a8b113d10,"Dhimiter Konomi, Uji i Ftohtë (Vlorë), Vlora, Bashkia Vlorë, Vlorë County, Southern Albania, 9401-9403, Albania"
Unconfirmed,40.745,40.745,n/a,266,canal,1,north,0.6,0.007,10,Lower slope (flat),n/a,769,11273,94484,0.26,0.29,159,1,8f1ed6b4117411a,"Kuman, Bashkia Roskovec, Fier County, Southern Albania, 9315, Albania"
Unconfirmed,40.693,40.693,n/a,43,river,6,south,2.0,0.020,48,Lower slope,n/a,5394,34629,40776,0.26,0.34,145,4,8f1ed46d6633419,"Rruga Shëtitorja Osumi, Mangalem, Berat, Berat County, Southern Albania, 5001, Albania"
Unconfirmed,40.998,40.998,n/a,772,lake,12,southwest,4.5,0.006,38,Valley,n/a,239,8459,57248,0.28,0.33,152,1,8f1ed444852468d,"Dushk, Bashkia Lushnjë, Fier County, Southern Albania, 9010, Albania"
Unconfirmed,40.567,40.567,n/a,382,canal,74,northeast,8.0,0.007,114,Peak/ridge,n/a,310,7102,16989,0.28,0.34,151,0,8f1ed6a0ba0bd2d,"Cakran, Bashkia Fier, Fier County, Southern Albania, 9311, Albania"
Unconfirmed,41.366,41.366,n/a,651,lake,319,southwest,18.3,0.039,894,Upper slope (warm),n/a,70,2465,55739,0.23,0.38,134,8,8f1ed41586a1221,"SH54, Dajt, Tirana Municipality, Tirana County, Central Albania, 1040, Albania"
Unconfirmed,40.886,40.886,n/a,1260,ditch,1,north,0.8,0.013,8,Lower slope (flat),n/a,597,13291,53189,0.3,0.29,160,0,8f1ed47b3b88556,"Mobileri Bali, SH4, Lushnjë, Bashkia Lushnjë, Fier County, Southern Albania, 9001, Albania"
Unconfirmed,40.330,40.330,n/a,450,stream,3,west,1.5,0.190,3,Lower slope,n/a,1149,2417,3721,0.22,0.39,140,3,8f1ed630699a89d,"Orikum, Bashkia Vlorë, Vlorë County, Southern Albania, 9426, Albania"
Unconfirmed,41.173,41.173,n/a,921,stream,5,southwest,1.0,0.026,22,Lower slope,n/a,4713,21687,32410,0.28,0.3,157,0,8f1ed456a0d86d9,"Shëtitorja Indrit Cara, Kavajë, Bashkia Kavajë, Tirana County, Central Albania, 2501, Albania"
Unconfirmed,41.345,41.345,n/a,620,river,9,northeast,1.3,0.006,101,Lower slope (flat),n/a,32817,563367,763763,0.25,0.33,150,0,8f1ed40266ea121,"Rruga Sejdini, Njësia Bashkiake Nr. 9, Tiranë, Tirana Municipality, Tirana County, Central Albania, 1001-1028, Albania"
Unconfirmed,41.386,41.386,n/a,281,stream,0,northwest,1.9,0.895,38,Lower slope,n/a,593,14354,116461,0.25,0.31,149,0,8f1ed41a595d0d3,"Vore-Marikaj, Zona indistruale Marikaj, Marikaj, Vorë, Bashkia Vorë, Tirana County, Central Albania, 1032, Albania"
